Officer.Name,Document,Shield..,Tax..,Precinct.Command
Bryan White,<a href='https://web.archive.org/web/20180905184209/https://nypost.com/2018/09/05/city-quietly-paid-1-5m-to-woman-whose-teeth-were-knocked-out-by-nypd-cop/' target='_blank'>Details</a>,NA,NA,NA
Burban Pierre,<a href='https://web.archive.org/web/20211003145201/https://www.nydailynews.com/new-york/nyc-crime/ny-nypd-craigslist-scam-20211003-gf2ahtitazhohlkku5dwxxhtc4-story.html' target='_blank'>Details</a>,NA,NA,Bronx Court
Candice Smith,<a href='https://web.archive.org/web/20170424001623/http://www.nydailynews.com/new-york/2-cops-detective-nypd-crossing-guard-cuffed-weekend-article-1.3091811' target='_blank'>Details</a>,NA,NA,NA
Candice Smith,<a href='https://web.archive.org/web/20210629162437/https://www.nydailynews.com/new-york/nyc-crime/ny-off-duty-nypd-cop-busted-drunk-driving-queens-20200613-vztwlglxtrbxdnfpu4k4mbnab4-story.html' target='_blank'>Details</a>,NA,NA,NA
Candice Smith,<a href='https://web.archive.org/web/20220510151002/https://gothamist.com/news/off-duty-nypd-cop-busted-for-drunk-wrong-way-li-joyride' target='_blank'>Details</a>,NA,NA,NA
Candice Smith,<a href='https://web.archive.org/web/20221128001803/https://nypost.com/2022/11/25/these-nypd-officers-got-to-keep-their-jobs-despite-arrests/' target='_blank'>Details</a>,NA,NA,NA
Carl Noel,<a href='https://web.archive.org/web/20220415181959/https://abc7ny.com/correction-officers-arrested-nyc-prison-guards-arrest-drug-smuggling-marijuana-jails/3053330/' target='_blank'>Details</a>,NA,NA,DOC
Carlos Cruz,<a href='https://web.archive.org/web/20220309142203/https://www.nytimes.com/2018/09/12/nyregion/nypd-gambling-prostitution.html' target='_blank'>Details</a>,NA,NA,69
Carlos Deleon,<a href='https://web.archive.org/web/20170111133959/http://www.nydailynews.com/new-york/bronx/54m-perv-suit-bronx-sarge-article-1.2943197' target='_blank'>Details</a>,NA,NA,52
Carlos Diaz,<a href='https://web.archive.org/web/20221022170717/https://www.nydailynews.com/new-york/nyc-crime/ny-off-duty-cop-busted-groping-bronx-20221022-effhf74zjfhonngsukwgyargv4-story.html' target='_blank'>Details</a>,NA,NA,NA
Carlos Fabara,<a href='https://web.archive.org/web/20220414191347/https://gothamist.com/news/nypd-cops-commanding-officers-ccrb-misconduct-complaints' target='_blank'>Details</a>,NA,NA,100
